"OLD+AGE-SIX+HALF OLD+AGE-SIX+HALF OLD+AGE-SIX+HALF DCL:5""person growing up"" TO/UNTIL BEFORE_2 IX-1p BECOME AGE-THIRTEEN+",I grew up there between the age of six and a half and thirteen.,"From six and a half years old until before I turned thirteen, I grew up.  ",I was growing up from six and a half until just before I was thirteen.  ,"Between six and a half and almost thirteen, I was growing up.  ",Growing up took place from when I was six and a half until before I was thirteen.  ,"Starting from six and a half, I was growing until before turning thirteen.  ",I grew up during the time when I was six and a half until just before I turned thirteen.  ,"From age six and a half until right before thirteen, I experienced my growth.  ","At six and a half until just shy of thirteen, that's when I was growing.  ",My growing years were between the ages of six and a half and just before thirteen.  ,"Between being six and a half and nearly thirteen, I was in the process of growing up.  ",,,,,,,,,
IX-1p BORN IX-loc:i ns-#FLA,I was born in Florida.,I was born in Florida.,I am born in Florida.,I am from Florida.,I was born in FLA.,I am from FLA.,I come from Florida.,I come from FLA.,I am a Florida native.,I hail from Florida.,I was born in the state of Florida.,,,,,,,,,
LOSE KEY WHO,Who lost the key?,Who lost the key?  ,Who lost a key?  ,Who is the one that lost the key?  ,The key was lost by who?  ,Who has lost the key?  ,Who is missing their key?  ,Whose key was lost?  ,Who had the key and lost it?  ,Who mislaid the key?  ,Who misplaced the key?  ,,,,,,,,,
WHICH TEAM IX-3p:i WIN NOW (2h)IX-3p:i FUTURE NEXT GAME IX-3p:i,Whichever team that wins this game will move onto the next game.,Which team is winning now and in the future next game? ,Which team is winning now and will win the next game in the future? ,Which team is currently winning and will also win their next game? ,Which team is winning now and wants to win their next game in the future? ,Which team is winning now and is expected to win the next game? ,Which team is the current winner and plans to win their next game afterward? ,Which team is winning at the moment and looking forward to the next victory? ,Which team wins now and aims to win again next game? ,Which team currently wins and is poised for another win next game? ,Which team has the win now and anticipates winning the future next game? ,,,,,,,,,
ATTENTION-WAVE POSS-1p+ FRIEND ARRIVE TIME++,What time did my friend arrive?,I waved to get my friend's attention as they arrived multiple times.  ,I repeatedly waved to my friend as they arrived.  ,I waved several times when my friend arrived.  ,"When my friend arrived, I signaled to them repeatedly.  ",I kept waving to my friend upon their arrival.  ,I got my friend's attention by waving as they got here.  ,"As my friend arrived, I waved to catch their attention multiple times.  ",I waved to my friend multiple times when they arrived.  ,"My friend arrived, and I waved several times to get their attention.  ",I signaled to my friend repeatedly as they arrived.,,,,,,,,,
IX-3p:i (5)MAN PAINT+ POSS-1p HOUSE IX-3p:i POSS-1p SISTER KNOW+ IX-3p:i PAST,"The man who is painting my house, my sister knew him from a long time ago.","Those five men painted my house, and my sister knew them from before.  ","Those five men painted my house, which my sister knew about beforehand.  ",The five men who painted my house were already known by my sister.  ,My sister knew the five men who painted my house.  ,My sister had known those five men before they painted my house.  ,"Five men painted my house, and my sister already knew them.  ",My sister was familiar with the five men who painted my house.  ,"Those five men painted my house, and my sister knew them in the past.  ","Those five men painted my house, and my sister was already acquainted with them.  ","Five men painted my house, and my sister had known them.",,,,,,,,,
"ns-fs-JOHN EAT (1h)""WHAT"" fs-CAVIAR",What does John eat? He eats caviar. Yuck!,"""What did John eat? Caviar.""","""John ate something, what? Caviar.""","""John ate what? Caviar.""","""What is John eating? Caviar.""","""John eats something, what is it? Caviar.""","""What has John eaten? Caviar.""","""John ate, question what? Caviar.""","""John is eating what? Caviar.""","""What does John eat? Caviar.""","""What was John eating? Caviar.""",,,,,,,,,
IX-2p FINISH TAKE-UP INTRODUCE LINGUISTICS CLASS_2,Did you take an introduction to linguistics class?,Have you finished taking the introduction to linguistics class?,Are you done taking the introductory linguistics class?,Have you completed taking up the introduction to linguistics class?,Have you taken the introductory linguistics class yet?,Did you finish taking the intro to linguistics class?,Have you already taken the introduction to linguistics class?,Did you complete taking the introductory linguistics class?,Did you wrap up taking the linguistics introduction class?,Have you managed to finish taking the linguistics introductory class?,Are you done with the intro to linguistics class?,,,,,,,,,
WHO VISIT_2 ns-BOSTON (Y)YESTERDAY WHO POSS-1p (R)BEST-FRIEND GO,My best friend visited Boston yesterday.,"The best friend I visited in Boston yesterday, who was it?",Who was my best friend that went to Boston yesterday?,Who went to Boston yesterday with my best friend?,"My best friend who went, who visited Boston yesterday?",Who was it that my best friend visited in Boston yesterday?,Was it my best friend who went to Boston yesterday?,Who is my best friend who visited Boston yesterday?,"Who went to Boston yesterday, my best friend?",Who visited Boston yesterday with my best friend?,Who was the best friend that visited Boston yesterday?,,,,,,,,,
"IX-3p:i ns-fs-JOHN BUY (Y)YESTERDAY ""WHAT""",What did John buy yesterday?,What did John buy yesterday?  ,What was bought by John yesterday?  ,What did yesterday John buy?  ,What did John purchase yesterday?  ,What was the thing John bought yesterday?  ,What did John get yesterday?  ,What item did John buy yesterday?  ,What did John buy on the previous day?  ,What did John acquire yesterday?  ,What was it that John bought yesterday?  ,,,,,,,,,
POSS-1p FRIEND (Y)WOW THRILL/WHAT'S-UP part:indef WIN fs-LOTTERY IX-3p:i,My friend is thrilled because he won the lottery.,"My friend said, ""Wow! What's up? Did they win the lottery?""  ","My friend exclaimed, ""Wow! Is what I'm hearing true? Did they win the lottery?""  ","My friend, surprised, asked, ""Wow! What's the excitement? Did they win the lottery?""  ","My friend gestured, ""Wow! What's happening? Did that person win the lottery?""  ","My friend remarked, ""Wow! Is something thrilling going on? Is it them who won the lottery?""  ","My friend was like, ""Wow, amazing! What's happening? Did they win the lottery?""  ","My friend reacted, ""Wow! What's the big news? Is it about them winning the lottery?""  ","My friend was astonished, ""Wow! Is something exciting happening with them winning the lottery?""  ","My friend expressed excitement, ""Wow! What's the news? Did they win a lottery?""  ","My friend showed surprise, ""Wow! What's going on? Did they win in the lottery?""  ",,,,,,,,,
IX-3p-pl-arc GIRL+ ARRIVE ON-TIME,Did those girls arrive on time?,The girls over there arrived on time.  ,Those girls arrived on time.  ,"They, the group of girls, arrived on time.  ",The girls got here on time.  ,"They, the girls, were on time.  ",The girls were on time.  ,Those girls over there were on time.  ,The girls arrived punctually.  ,"They, the girls, arrived punctually.  ",Those girls arrived punctually.  ,,,,,,,,,
IX-2p THINK+ ns-fs-OBAMA VOTE AGAIN SECOND PRESIDENT QMwg,Do you think Obama will be elected again for his second term as president?,Did you both think about voting for Obama again for president?  ,Are you two considering voting for Obama as president a second time?  ,You both think Obama should be voted as president again?  ,Do you two think about voting for Obama for president again?  ,Are both of you thinking of voting for Obama again for the presidency?  ,Do you and your friend consider voting for Obama a second time for president?  ,Are you thinking of voting for Obama for president once more?  ,Did the two of you think about a second vote for Obama for president?  ,Do both of you want to vote for Obama again as president?  ,Are you both considering voting for Obama again to be president?  ,,,,,,,,,
